step 0
Graph has 1 connected components
longest diameter of any components is 47
         27385473 function calls (27385462 primitive calls) in 80.106 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2009178   37.191    0.000   37.191    0.000 {method 'pop' of 'list' objects}
        6   26.150    4.358   73.430   12.238 dijkstra.py:101(dijkstra)
  2009172    4.594    0.000    4.594    0.000 {built-in method _bisect.bisect_right}
 12962208    2.953    0.000    2.953    0.000 {method 'add' of 'set' objects}
      6/1    2.443    0.407   77.085   77.085 dijkstra.py:62(calc_connected_component_diameter)
  2009172    1.618    0.000    6.527    0.000 dijkstra.py:27(add_element)
        1    1.203    1.203    1.964    1.964 dijkstra.py:16(read_graph)
        6    0.567    0.095    0.567    0.095 dijkstra.py:107(<dictcomp>)
        6    0.522    0.087    0.522    0.087 dijkstra.py:106(<dictcomp>)
        1    0.429    0.429   79.986   79.986 dijkstra.py:79(main)
        9    0.416    0.046    0.883    0.098 {built-in method builtins.max}
  2009184    0.337    0.000    0.337    0.000 dijkstra.py:66(<genexpr>)
  2009172    0.315    0.000    0.315    0.000 {method 'insert' of 'list' objects}
   925872    0.255    0.000    0.255    0.000 {method 'split' of 'str' objects}
   925927    0.221    0.000    0.221    0.000 {method 'startswith' of 'str' objects}
        2    0.211    0.105    0.211    0.105 dijkstra.py:37(<setcomp>)
   925872    0.152    0.000    0.152    0.000 {method 'strip' of 'str' objects}
   669728    0.129    0.000    0.129    0.000 dijkstra.py:41(<genexpr>)
   925953    0.125    0.000    0.125    0.000 {method 'append' of 'list' objects}
        1    0.118    0.118   80.106   80.106 dijkstra.py:1(<module>)
        7    0.068    0.010    0.308    0.044 dijkstra.py:40(get_farthest_vertexes)
        2    0.050    0.025    0.050    0.025 dijkstra.py:47(get_path)
        1    0.027    0.027    0.027    0.027 {method 'difference_update' of 'set' objects}
     1538    0.004    0.000    0.008    0.000 codecs.py:319(decode)
     1538    0.004    0.000    0.004    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.211    0.105 dijkstra.py:36(get_visited)
       48    0.000    0.000    0.000    0.000 typing.py:650(__setattr__)
        8    0.000    0.000    0.000    0.000 typing.py:676(__init__)
       13    0.000    0.000    0.000    0.000 typing.py:121(_type_check)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       48    0.000    0.000    0.000    0.000 typing.py:602(_is_dunder)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      2/1    0.000    0.000   80.106   80.106 {built-in method builtins.exec}
      121    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        6    0.000    0.000    0.000    0.000 typing.py:769(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:856(get_code)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
