Sat Feb  4 04:27:31 2023    ../../results/profiler/profiler.pstats

         362061277 function calls (361016368 primitive calls) in 206.539 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method math.ceil}
     2315    0.001    0.000    0.001    0.000 {built-in method math.cos}
      120    0.000    0.000    0.000    0.000 {built-in method math.floor}
      180    0.000    0.000    0.000    0.000 {built-in method math.log10}
     2467    0.001    0.000    0.001    0.000 {built-in method math.radians}
     2315    0.001    0.000    0.001    0.000 {built-in method math.sin}
        8    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       48    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       36    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
      125    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'islower' of 'bytes' objects}
       18    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        3    0.000    0.000    0.001    0.000 {method 'throw' of 'generator' objects}
      483    0.000    0.000    0.000    0.000 {function FrozenList.__getitem__ at 0x7f950b0ff160}
      513    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
   614046    0.105    0.000    0.105    0.000 {method 'append' of 'list' objects}
    11565    0.005    0.000    0.005    0.000 {method 'insert' of 'list' objects}
      809    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
   174231    0.034    0.000    0.034    0.000 {method 'pop' of 'list' objects}
    11536    0.030    0.000    0.030    0.000 {method 'remove' of 'list' objects}
     1078    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
      169    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
    52015    0.032    0.000    0.032    0.000 {method 'sort' of 'list' objects}
       30    0.000    0.000    0.000    0.000 {built-in method from_bytes}
 52953632    6.551    0.000    6.551    0.000 {method '__contains__' of 'dict' objects}
    44480    0.011    0.000    0.011    0.000 {function RcParams.__getitem__ at 0x7f950bec8550}
 42055576    5.384    0.000    5.385    0.000 {method 'get' of 'dict' objects}
    47850    0.012    0.000    0.012    0.000 {method 'setdefault' of 'dict' objects}
    18999    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
     3410    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
    48530    0.012    0.000    0.012    0.000 {method 'items' of 'dict' objects}
    18881    0.005    0.000    0.005    0.000 {method 'values' of 'dict' objects}
     1239    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1999    0.002    0.000    0.002    0.000 {built-in method fromkeys}
       11    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
     1604    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
      992    0.000    0.000    0.000    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
       18    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
       70    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.000    0.000 {method 'move_to_end' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
     4608    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
   334240    0.047    0.000    0.047    0.000 {method '__contains__' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      260    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
      130    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       16    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
   393254    0.127    0.000    0.127    0.000 {built-in method __new__ of type object at 0x10260fcf8}
       46    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
     1701    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
    13702    0.013    0.000    0.013    0.000 {method 'split' of 'str' objects}
    12996    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
    12145    0.017    0.000    0.017    0.000 {method 'title' of 'str' objects}
     2314    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      253    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       26    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      299    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
128724515   18.351    0.000   18.351    0.000 {method 'lower' of 'str' objects}
     1228    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      204    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      308    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      408    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      738    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
    11526    0.006    0.000    0.006    0.000 {method 'upper' of 'str' objects}
   183342    0.043    0.000    0.043    0.000 {method 'startswith' of 'str' objects}
      442    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       73    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
   102987    0.141    0.000    0.141    0.000 {method 'format' of 'str' objects}
    34308    0.009    0.000    0.009    0.000 {built-in method _warnings._filters_mutated}
       15    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      5/4    0.000    0.000    0.012    0.003 {built-in method builtins.__import__}
    30236    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
247104/247092    0.211    0.000    0.706    0.000 {built-in method builtins.all}
    23048    0.027    0.000    0.196    0.000 {built-in method builtins.any}
   185856    0.038    0.000    0.038    0.000 {built-in method builtins.callable}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     2415    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      124    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
     11/1    0.000    0.000  206.618  206.618 {built-in method builtins.exec}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.format}
4539915/4539733    0.830    0.000    0.864    0.000 {built-in method builtins.getattr}
   503611    0.188    0.000    0.394    0.000 {built-in method builtins.hasattr}
601965/597874    0.179    0.000    0.298    0.000 {built-in method builtins.hash}
    36943    0.007    0.000    0.007    0.000 {built-in method builtins.id}
9239502/9239468    3.453    0.000    5.378    0.000 {built-in method builtins.isinstance}
  2751758    0.546    0.000    0.546    0.000 {built-in method builtins.issubclass}
    14129    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
33060452/32190782    4.718    0.000    5.295    0.000 {built-in method builtins.len}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
    11080    0.021    0.000    0.022    0.000 {built-in method builtins.max}
 10557642    3.378    0.000    3.378    0.000 {built-in method builtins.min}
11202/9990    0.007    0.000    0.088    0.000 {built-in method builtins.next}
     5372    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.print}
    33327    0.034    0.000    0.034    0.000 {built-in method builtins.repr}
      313    0.002    0.000    0.002    0.000 {built-in method builtins.round}
     6009    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
      330    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
    95400    0.137    0.000    0.223    0.000 {built-in method builtins.sum}
      790    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       56    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       56    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       10    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       10    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
       12    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
       12    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       47    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      699    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        3    0.000    0.000    0.000    0.000 {built-in method sys.is_finalizing}
      155    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      299    0.002    0.000    0.002    0.000 {built-in method posix.lstat}
        2    0.001    0.001    0.001    0.001 {built-in method posix.mkdir}
       10    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        8    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
      645    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       81    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       75    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       67    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
     3858    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       26    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       30    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       42    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
       15    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        3    0.000    0.000    0.000    0.000 {built-in method _operator.invert}
    11297    0.082    0.000    0.082    0.000 {built-in method _operator.and_}
        2    0.000    0.000    0.000    0.000 {built-in method _operator.or_}
    10933    0.233    0.000    0.233    0.000 {built-in method _operator.eq}
        2    0.000    0.000    0.000    0.000 {built-in method _operator.lt}
      209    0.002    0.000    0.002    0.000 {built-in method _operator.le}
        2    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
      209    0.003    0.000    0.003    0.000 {built-in method _operator.ge}
        3    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        3    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
   438563    0.302    0.000    0.304    0.000 {built-in method _abc._abc_instancecheck}
  581/193    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       31    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
      299    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        6    0.000    0.000    0.000    0.000 {built-in method time.time}
       22    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     1448    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      517    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       20    0.013    0.001    0.014    0.001 {built-in method io.open}
       10    0.003    0.000    0.003    0.000 {built-in method io.open_code}
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        3    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
       57    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedRandom' objects}
       17    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        8    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _csv.writer}
        5    0.000    0.000    0.000    0.000 {method 'writerow' of '_csv.writer' objects}
    89732    0.065    0.000    0.065    0.000 {built-in method pandas._libs.missing.checknull}
      566    0.007    0.000    0.007    0.000 {built-in method pandas._libs.missing.isnaobj}
        3    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     1434    0.002    0.000    0.012    0.000 {method 'all' of 'numpy.ndarray' objects}
   158143    0.176    0.000    1.197    0.000 {method 'any' of 'numpy.ndarray' objects}
      283    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    23040    0.137    0.000    0.137    0.000 {method 'astype' of 'numpy.ndarray' objects}
       65    0.000    0.000    0.004    0.000 {method 'clip' of 'numpy.ndarray' objects}
    32172    0.042    0.000    0.042    0.000 {method 'copy' of 'numpy.ndarray' objects}
      194    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
    68336    0.076    0.000    0.076    0.000 {method 'fill' of 'numpy.ndarray' objects}
     1142    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1815    0.002    0.000    0.012    0.000 {method 'max' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
     1337    0.002    0.000    0.014    0.000 {method 'min' of 'numpy.ndarray' objects}
    33516    0.113    0.000    0.113    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 {method 'put' of 'numpy.ndarray' objects}
    38246    0.063    0.000    0.063    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    54052    0.099    0.000    0.099    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      220    0.002    0.000    0.002    0.000 {method 'round' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
      363    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
    12351    0.020    0.000    0.126    0.000 {method 'sum' of 'numpy.ndarray' objects}
    33630    0.117    0.000    0.117    0.000 {method 'take' of 'numpy.ndarray' objects}
       64    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
463847/397193    1.121    0.000    1.673    0.000 {built-in method numpy.array}
    80494    0.176    0.000    0.176    0.000 {built-in method numpy.arange}
      136    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
   164231    0.388    0.000    0.388    0.000 {built-in method numpy.empty}
84632/83112    0.214    0.000    0.439    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       62    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    94842    0.128    0.000    0.128    0.000 {built-in method numpy.seterrobj}
   189684    0.056    0.000    0.056    0.000 {built-in method numpy.geterrobj}
      166    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
       15    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
   190653    1.105    0.000    1.105    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       10    0.000    0.000    0.000    0.000 {built-in method pandas._libs.writers.word_len}
        5    0.033    0.007    0.033    0.007 {pandas._libs.writers.write_csv_rows}
        5    0.000    0.000    0.000    0.000 {method 'factorize' of 'pandas._libs.hashtable.Int64HashTable' objects}
        6    0.001    0.000    0.001    0.000 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
        3    0.000    0.000    0.000    0.000 {method 'factorize' of 'pandas._libs.hashtable.Float64HashTable' objects}
        1    0.000    0.000    0.000    0.000 {method 'unique' of 'pandas._libs.hashtable.PyObjectHashTable' objects}
        5    0.000    0.000    0.000    0.000 {method 'unique' of 'pandas._libs.hashtable.StringHashTable' objects}
        9    0.002    0.000    0.002    0.000 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
    33252    9.337    0.000    9.337    0.000 {pandas._libs.ops.scalar_compare}
      822    0.001    0.000    0.001    0.000 {pandas._libs.internals.get_blkno_placements}
      126    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_datetime_array}
   341647    0.105    0.000    0.105    0.000 {pandas._libs.lib.is_scalar}
     3307    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_iterator}
   272329    0.078    0.000    0.078    0.000 {pandas._libs.lib.item_from_zerodim}
     1028    0.003    0.000    0.003    0.000 {pandas._libs.lib.array_equivalent_object}
