Year,Country Name,Country Code,GDP,GDP per capita
2000,Liechtenstein,LIE,2483953102.79488,74853.9387293539
2000,Bermuda,BMU,3480219000.0,56284.16864780942
2000,Luxembourg,LUX,21230182989.3036,48659.598875323405
2000,Japan,JPN,4968359075956.59,39169.359570150424
2000,Switzerland,CHE,279841151705.353,38952.034200557195
2001,Liechtenstein,LIE,2491822706.80256,74287.41337395462
2001,Bermuda,BMU,3680483000.0,58883.959426596695
2001,Luxembourg,LUX,21387533703.2327,48440.1420151355
2001,Switzerland,CHE,287226531168.523,39727.846671388244
2001,Norway,NOR,173972218824.027,38542.715099709094
2002,Liechtenstein,LIE,2688630822.53304,79345.75247257017
2002,Bermuda,BMU,3937228000.0,62583.1002034588
2002,Luxembourg,LUX,23649833332.1655,53005.7339209178
2002,Norway,NOR,195524186477.617,43084.47246507163
2002,Switzerland,CHE,310175772488.13,42578.76313556959
2003,Liechtenstein,LIE,3070691319.52179,89859.86537287224
2003,Bermuda,BMU,4186525000.0,66111.72522700355
2003,Luxembourg,LUX,29667268248.1305,65689.32145369108
2003,Norway,NOR,228858506821.841,50134.89077349467
2003,Switzerland,CHE,363063293977.872,49470.39712596742
2004,Liechtenstein,LIE,3454362685.96703,100289.24300217832
2004,Luxembourg,LUX,35064843792.8993,76544.91708684727
2004,Bermuda,BMU,4484703000.0,70359.31910887982
2004,Norway,NOR,264511630666.983,57603.83602182599
2004,Switzerland,CHE,405531321270.607,54878.47100097867
2005,Liechtenstein,LIE,3659251525.8593,105399.26049482402
2005,Luxembourg,LUX,37672280120.4794,80988.13762308592
2005,Bermuda,BMU,4868136000.0,75882.03385603392
2005,Norway,NOR,308884284051.222,66810.47852086792
2005,Iceland,ISL,16852963067.0496,56794.85015889518
2006,Liechtenstein,LIE,4000239272.61126,114374.24653641916
2006,Bermuda,BMU,6144000000.0,95221.85887203013
2006,Luxembourg,LUX,42910146296.0646,90788.80048761438
2006,Cayman Islands,CYM,4200439498.52838,82801.54346682134
2006,Norway,NOR,345581369965.54,74148.32007571861
2007,Liechtenstein,LIE,4601299566.81106,130655.63695973705
2007,Luxembourg,LUX,51587401415.7872,107475.32029797768
2007,Bermuda,BMU,6767000000.0,104287.38749845888
2007,Cayman Islands,CYM,4466438823.03247,85433.03027988657
2007,Norway,NOR,400937100158.657,85139.96044695447
2008,Liechtenstein,LIE,5081432924.0144,143264.0594325862
2008,Luxembourg,LUX,58844277701.5258,120422.13793415697
2008,Bermuda,BMU,6980000000.0,106935.48634197908
2008,Norway,NOR,462250000000.0,96944.0956064873
2008,Cayman Islands,CYM,4586114070.09916,85188.33602859033
2009,Liechtenstein,LIE,4504549214.22663,126096.61042540184
2009,Luxembourg,LUX,54467289897.5582,109419.74695310647
2009,Bermuda,BMU,6656000000.0,101407.7640319337
2009,Norway,NOR,386190385318.767,79977.69708174931
2009,Cayman Islands,CYM,4281868765.92454,77400.42236988738
2010,Liechtenstein,LIE,5082366478.08994,141192.53467301757
2010,Luxembourg,LUX,56213985987.4168,110885.99137872111
2010,Bermuda,BMU,6634526000.0,101875.28407345986
2010,Norway,NOR,428757038466.841,87693.79006580987
2010,Switzerland,CHE,603434493402.679,77117.126014204
2011,Liechtenstein,LIE,5739977477.47748,158130.45751887048
2011,Luxembourg,LUX,61696281326.2453,119025.0572034666
2011,Norway,NOR,498283438454.281,100600.56240758917
2011,Bermuda,BMU,6312691000.0,97774.16207174277
2011,Switzerland,CHE,722038242134.62,91254.0347609688
2012,Liechtenstein,LIE,5456009384.66461,149010.22489866475
2012,Luxembourg,LUX,59776383527.3602,112584.67627095825
2012,Norway,NOR,509506317146.541,101524.14185198482
2012,Bermuda,BMU,6378188000.0,98431.8651810241
2012,Switzerland,CHE,692109693986.886,86547.6708907265
2013,Liechtenstein,LIE,6391735893.83968,173030.2082793633
2013,Luxembourg,LUX,65203276466.9763,120000.14072985921
2013,Norway,NOR,522761531914.894,102913.45084367364
2013,Bermuda,BMU,6465756000.0,99471.63889786311
2013,Macau Special Adminstrative Region Of China,MAC,51536304807.6803,89260.7571041005
2014,Liechtenstein,LIE,6657170923.37918,178864.85191378542
2014,Luxembourg,LUX,68804811897.6445,123678.70214327482
2014,Bermuda,BMU,6413988000.0,98467.683993982
2014,Norway,NOR,498410050251.256,97019.18275274622
2014,Macau Special Adminstrative Region Of China,MAC,54903031137.7096,93022.87514225378
